Station.Id,StationName,longitude,latitude,Easting,Northing
775,"Little Brook Green, Brook Green",-0.223868,51.4967,523391.86,179020.38
776,"Abyssinia Close, Clapham Junction",-0.167029,51.4603,527435.68,175080.19
777,"Limburg Road, Clapham Junction",-0.165298,51.4619,527553.3,175257
778,Pop Up Dock 1,-0.04109,51.5338,0,0
779,"Houndsditch, Aldgate",-0.077179,51.5144,533520,181255
780,"Imperial Wharf Station, Sands End",-0.183165,51.4747,526277.28,176643.98
781,"Victoria & Albert Museum, South Kensington",-0.172065,51.4967,526930.332,179023.57
782,"Halford Road, West Kensington",-0.197609,51.4839,525248.55,177646.41
783,"Monier Road, Hackney Wick",-0.0216304,51.5403,537297,184234
784,"East Village, Queen Elizabeth Olympic Park",-0.00993526,51.5463,538090,184925
785,"Aquatic Centre, Queen Elizabeth Olympic Park",-0.0105106,51.5409,538067,184325
786,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",-0.0157176,51.5494,537680,185252
787,"Timber Lodge, Queen Elizabeth Olympic Park",-0.0146913,51.5468,537759,184969
788,"Copper Box Arena, Queen Elizabeth Olympic Park",-0.0195248,51.5448,537430,184741
789,"Podium, Queen Elizabeth Olympic Park",-0.0118895,51.5387,537978,184075
790,"Stratford Station, Stratford",-0.00481,51.5418,538461,184413
792,"Blackfriars Road, Southwark",-0.104541,51.5055,531648.4,180205.98
793,"Cromer Street, Bloomsbury",-0.119559,51.5283,530541,182716
794,"Lansdowne Way Bus Garage, Stockwell",-0.12458,51.4746,524634.1,180254.44
795,"Euston Square Gardens, Euston",-0.134849,51.5276,529483,182599
796,"Coram Street, Bloomsbury",-0.12641,51.524,530078,182231
797,"Ossulston Street, Somers Town",-0.128281945,51.52930361,529933,182815
798,"Birkenhead Street, King's Cross",-0.122299,51.5302,530345,182925
799,"Kings Gate House, Westminster",-0.137599,51.4977,529376,179283
800,"Sopwith Way, Battersea Park",-0.149035,51.4811,528628.7,177420.35
801,"Lavington Street, Bankside",-0.0980318,51.5052,532100.8,180191.4
802,"Albert Square, Stockwell",-0.118256789,51.47659006,530779.07,176970.92
803,"Southwark Street, Bankside",-0.098341088,51.50540994,532078.8,180211.5
804,"Good's Way, King's Cross",-0.125079,51.5347,530139.9,183417.2
805,"Bevington Road, North Kensington",-0.206338208,51.52007391,524544,181653
806,"Handyside Street, King's Cross",-0.12481,51.53724,530151.38,183703.79
807,"Bevington Road West, North Kensington",-0.208617281,51.52113388,524383,181767
808,"Stockwell Roundabout, Stockwell",-0.122556,51.4735,530489.4,176618.1
809,"Lincoln's Inn Fields, Holborn",-0.114998086,51.51582693,530893,181340
810,"Tate Modern, Bankside",-0.098884952,51.50672097,532037.27,180356.31
811,"Westferry Circus, Canary Wharf",-0.027775894,51.50569679,536975,180373
812,"Here East North, Queen Elizabeth Olympic Park",-0.022626668,51.54872406,537203.027,185167.369
813,"New Spring Gardens Walk, Vauxhall",-0.122759626,51.48780745,530434.4,178210.3
814,"Clapham Road, Lingham Street, Stockwell",-0.123670736,51.47143307,530417.81,176387.8
815,"Lambeth Palace Road, Waterloo",-0.115171479,51.50045247,530925,179630
816,"Here East South, Queen Elizabeth Olympic Park",-0.022626668,51.54872406,537360,184911
817,"Riverlight South, Nine Elms",-0.13821289,51.48133503,529379.86,177463.15
818,"Westminster Pier, Westminster",-0.12382352,51.501513,530321.48,179732.45
819,"Belvedere Road 2, South Bank",-0.114686,51.5061,530941.4,180262.54
820,"Victory Place, Walworth",-0.092486949,51.49266501,532522,178804.8
821,"Battersea Power Station, Battersea Park",-0.147702349,51.48351589,528714.824,177688.956
826,"Allington street, Westminster",-0.142952,51.496858,529007.6,179181.6
827,"Cranmer Road, Stockwell",-0.111481,51.479593,531241.64,177317.86
828,"Normandy Road, Stockwell",-0.112581,51.473874,531181.45,176679.92
829,"Wynne Road, Stockwell",-0.112687,51.469217,531187.28,176161.47
830,"Sidney Road, Stockwell",-0.119023,51.469202,530747.66,176148.78
831,"St John's Crescent, Brixton",-0.113184,51.466231,531161.33,175828.05
832,"Ferndale Road, Brixton. ",-0.115795,51.464016,530986.88,175577.4
833,"Saltoun Road, Brixton",-0.115375,51.460232,531026.75,175157.03
834,"Gas Holders, Battersea Park",-0.147857,51.477966,528720,177072
836,"York Way, Kings Cross",-0.125442,51.541596,530095,184187
835,"Farringdon Street, Holborn",-0.1049478,51.516785,531588,181465
838,"Fore Street Avenue, Guildhall",-0.0914017,51.518093,532524,181634
839,"Sea Containers, South Bank",-0.1068403,51.507974,531482,180481
